sample,condition
u1008085,True
u1010160,True
u1011241,True
u1013662,False
u1019643,True
u1021716,True
u1031306,False
u1041,True
u1044971,True
u1051646,False
u1054555,True
u1054761,True
u1058528,True
u1059371,True
u1061268,True
u10830,False
u1095,True
u11178,True
u111830,False
u113609,True
u11435,True
u11550,True
u118068,True
u118871,False
u12233,True
u12303,False
u123944,True
u126467,True
u126989,True
u127057,True
u12737,True
u127577,True
u127846,True
u128,True
u1297,True
u131345,True
u131402,True
u133261,True
u134036,True
u13498,True
u135661,True
u13577,True
u140522,True
u142278,True
u14724,False
u148722,True
u149303,False
u1513,True
u151385,True
u15152,True
u15161,False
u15499,False
u15992,False
u16025,False
u1631,True
u163316,True
u164307,False
u16477,False
u16483,False
u166714,True
u16688,True
u16704,True
u16775,True
u1680,False
u17071,False
u17107,False
u17125,False
u17442,False
u174487,True
u17460,False
u175903,True
u176060,True
u17854,False
u179620,True
u17974,True
u1801,True
u181218,True
u181959,True
u18285,True
u1831,False
u18450,False
u18463,False
u184946,True
u18583,False
u189209,False
u18951,False
u189592,True
u191348,True
u19204,True
u19341,True
u19445,False
u19525,True
u1958,False
u19626,False
u19742,False
u198165,True
u19952,False
u20448,False
u207044,True
u2083,True
u2133,False
u21349,False
u21412,True
u21450,False
u21558,False
u217334,True
u217468,True
u217989,False
u218034,True
u219517,True
u22509,False
u22583,True
u22735,False
u227542,True
u230477,True
u23058,False
u230586,True
u23264,True
u23268,True
u232730,False
u23531,False
u23650,False
u2371,True
u237274,True
u23818,True
u238213,False
u238237,True
u239287,False
u23964,True
u24052,True
u240559,True
u240772,True
u24121,False
u242765,True
u24280,True
u24285,False
u24454,False
u2449,True
u250044,True
u25022,True
u25133,False
u25189,False
u25198,True
u253503,False
u2539,False
u255311,True
u25569,True
u2562,False
u25668,True
u258,True
u258874,True
u259712,True
u2598,True
u259922,False
u26157,True
u261906,True
u26426,True
u26638,True
u26670,False
u26958,True
u27014,True
u2716,True
u273894,True
u2740,False
u278844,True
u2793,True
u28250,True
u2833,True
u283774,True
u283925,True
u285409,True
u287478,True
u291146,True
u291421,True
u29403,False
u29504,False
u29609,True
u29610,False
u303211,True
u307751,False
u3166,True
u3171,False
u318910,True
u3234,True
u3243,False
u3250,False
u3278,False
u345572,True
u351616,True
u3548,True
u3632,False
u36766,False
u3729,False
u37868,False
u37877,False
u38034,False
u383314,True
u38509,True
u387312,False
u389350,False
u38985,True
u39811,False
u400723,False
u4011,False
u405,True
u413034,False
u416424,False
u419816,False
u4497,False
u452313,False
u45333,True
u4537,True
u4543,False
u460607,False
u464317,True
u4687,True
u473002,False
u483645,False
u4842,True
u486314,False
u48874,True
u4902,False
u491643,True
u492552,False
u501325,True
u501640,False
u514679,False
u516495,True
u5172,False
u5265,True
u5284,False
u54306,True
u547455,True
u54781,True
u548,True
u550,True
u5525,True
u561267,False
u562401,False
u569572,False
u570343,True
u582294,False
u583895,False
u590865,True
u592303,True
u592585,True
u59849,True
u602,True
u6048,True
u6076,True
u6152,False
u617110,False
u6173,False
u618960,True
u626280,True
u628596,False
u63187,True
u632416,True
u6346,False
u6349,True
u6359,False
u6381,False
u64094,True
u6438,True
u646907,True
u648086,True
u648909,False
u649358,False
u6497,False
u653854,False
u654834,False
u6549,True
u655859,True
u658409,False
u659542,False
u6622,False
u6734,False
u683515,True
u6845,True
u687848,True
u688967,False
u691399,True
u694014,True
u696611,False
u698555,True
u703,True
u703398,True
u703495,False
u703612,False
u708769,True
u7106,True
u7112,True
u71199,True
u7120,True
u712143,True
u718542,True
u7256,True
u726938,True
u726993,True
u72811,True
u733204,False
u7358,False
u736734,False
u741,True
u743088,False
u744974,True
u748646,True
u7492,True
u7529,False
u754,False
u759354,True
u760703,True
u761698,True
u773284,True
u781489,True
u781695,True
u7892,False
u792303,True
u7986,False
u800160,True
u8030,False
u8055,False
u811277,False
u812996,False
u814919,False
u820616,True
u821211,False
u823254,False
u823709,True
u8238,False
u824,True
u827875,False
u829404,True
u831531,True
u833002,True
u840779,True
u8408,False
u845135,True
u850318,True
u851981,False
u8520,False
u8555,True
u856126,True
u85830,True
u8613,True
u8640,True
u8719,True
u880467,True
u883540,True
u885735,False
u896319,False
u9003,True
u902785,True
u905860,False
u906831,False
u906969,True
u913280,False
u914141,True
u91440,True
u915510,False
u916774,False
u916935,False
u921774,True
u928419,True
u933647,True
u935062,True
u942877,False
u943,True
u94624,True
u948716,True
u9527,False
u955577,True
u955792,True
u956923,False
u961361,True
u964814,True
u972008,False
u972337,False
u975858,True
u977953,True
u978470,False
u987572,True
u988516,False
u99287,True
u994,False
u99531,False
u9975,False
u997851,False
